timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,mid,width,sma_20,sma_50,sma_cross,target
2024-07-07,58230.13,58449.46,55724.37,55857.81,19118.93918,30.427835756009813,-2316.9170622081365,-1846.9834926374806,-469.9335695706559,66892.9084691846,55957.42553081541,61425.167,17.802935624691397,61425.167,65673.6478,-4248.480800000005,1
2024-07-08,55857.81,58236.73,54260.16,56714.62,48090.2049,33.99326859033333,-2378.234006625673,-1953.2335954351192,-425.0004111905537,66552.40077115883,55451.86322884116,61002.132,18.196966529493878,61002.132,65482.46,-4480.328000000001,1
2024-07-09,56714.61,58296.0,56289.45,58050.0,27732.20788,39.22124445472035,-2292.6459259656112,-2021.1160615412177,-271.5298644243935,66033.02203121714,55278.80496878286,60655.9135,17.729874041768877,60655.9135,65214.5276,-4558.614099999999,0
2024-07-10,58050.0,59470.0,57157.79,57725.85,24951.73799,38.42564880912565,-2225.3208379730786,-2061.95701682759,-163.3638211454886,65453.14876530168,55144.264234698334,60298.70650000001,17.096360981812015,60298.70650000001,64966.0778,-4667.371299999992,0
2024-07-11,57725.85,59650.0,57050.0,57339.89,29761.05735,37.45150897198255,-2178.0023121900595,-2085.1660759000843,-92.8362362899752,64948.484436772975,54968.56156322703,59958.523,16.64471100054607,59958.523,64729.5432,-4771.020199999999,1
2024-07-12,57339.89,58526.68,56542.47,57889.1,23652.4569,39.79059011306924,-2072.297230027405,-2082.5923067255485,10.295076698143475,64292.4120308286,54987.342969171405,59639.8775,15.602092847452939,59639.8775,64527.93220000001,-4888.054700000008,1
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,45.08552767827067,-1860.9700319794283,-2038.2678517763245,177.2978197968962,63795.54208849999,55083.61391150001,59439.578,14.656779994299388,59439.578,64341.012800000004,-4901.434800000003,1
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,50.74049634067808,-1547.0447339990496,-1940.0232282208697,392.97849422182003,63846.032272140445,55083.584727859554,59464.8085,14.7355179732579,59464.8085,64171.1596,-4706.3511,1
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,61.30980117817834,-970.2581930286833,-1746.0702211824323,775.812028153749,64463.12013428727,54758.30986571271,59610.71499999999,16.28031180061262,59610.71499999999,64095.488999999994,-4484.774000000005,1
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,62.02464882568325,-481.7877328037139,-1493.2137235066887,1011.4259907029748,65201.17496164249,54438.155038357494,59819.66499999999,17.99244432961134,59819.66499999999,64007.6402,-4187.975200000008,0
